layer,seed,id,length_bucket,distractor_level,seq_len,max_token_prob,second_max_token_prob,num_tokens_above_threshold,diagnostic_threshold
12,0,test_2048_0_000004,2048,0,2022,1.0,0.9999850988388062,3,0.9
12,0,test_2048_0_000005,2048,0,2059,1.0,1.0,7,0.9
12,0,test_2048_0_000006,2048,0,2038,1.0,1.0,6,0.9
12,0,test_2048_0_000007,2048,0,2027,1.0,1.0,7,0.9
12,0,test_2048_1_000012,2048,1,2030,0.9999885559082031,0.9998756647109985,6,0.9
12,0,test_2048_1_000013,2048,1,2030,1.0,1.0,8,0.9
12,0,test_2048_1_000014,2048,1,2044,1.0,1.0,20,0.9
12,0,test_2048_1_000015,2048,1,2008,1.0,1.0,12,0.9
12,0,test_2048_4_000020,2048,4,2013,1.0,1.0,11,0.9
12,0,test_2048_4_000021,2048,4,2029,1.0,1.0,26,0.9
12,0,test_2048_4_000022,2048,4,2054,1.0,1.0,36,0.9
12,0,test_2048_4_000023,2048,4,2052,1.0,1.0,32,0.9
12,0,test_2048_8_000028,2048,8,2042,1.0,1.0,22,0.9
12,0,test_2048_8_000029,2048,8,2039,1.0,1.0,30,0.9
12,0,test_2048_8_000030,2048,8,2019,1.0,1.0,21,0.9
12,0,test_2048_8_000031,2048,8,2023,1.0,1.0,40,0.9
12,0,test_8192_0_000036,8192,0,8035,1.0,1.0,7,0.9
12,0,test_8192_0_000037,8192,0,8052,0.9969192743301392,0.9967515468597412,4,0.9
12,0,test_8192_0_000038,8192,0,8066,1.0,0.9999992847442627,3,0.9
12,0,test_8192_0_000039,8192,0,8057,0.9990649819374084,0.9926730990409851,4,0.9
12,0,test_8192_1_000044,8192,1,8064,1.0,1.0,7,0.9
12,0,test_8192_1_000045,8192,1,8080,0.9999991655349731,0.9999978542327881,7,0.9
12,0,test_8192_1_000046,8192,1,8036,1.0,0.9999990463256836,3,0.9
12,0,test_8192_1_000047,8192,1,8070,1.0,1.0,10,0.9
12,0,test_8192_4_000052,8192,4,8075,1.0,1.0,30,0.9
12,0,test_8192_4_000053,8192,4,8075,1.0,1.0,32,0.9
12,0,test_8192_4_000054,8192,4,8042,1.0,1.0,25,0.9
12,0,test_8192_4_000055,8192,4,8074,1.0,1.0,14,0.9
12,0,test_8192_8_000060,8192,8,8045,1.0,1.0,27,0.9
12,0,test_8192_8_000061,8192,8,8075,1.0,1.0,20,0.9
12,0,test_8192_8_000062,8192,8,8052,1.0,1.0,39,0.9
12,0,test_8192_8_000063,8192,8,8066,1.0,1.0,16,0.9
12,0,test_16384_0_000068,16384,0,16058,1.0,1.0,8,0.9
12,0,test_16384_0_000069,16384,0,16086,0.9999973773956299,0.9998036026954651,4,0.9
12,0,test_16384_0_000070,16384,0,16088,1.0,1.0,5,0.9
12,0,test_16384_0_000071,16384,0,16082,0.9999799728393555,0.34398186206817627,1,0.9
12,0,test_16384_1_000076,16384,1,16099,1.0,1.0,12,0.9
12,0,test_16384_1_000077,16384,1,16102,1.0,1.0,12,0.9
12,0,test_16384_1_000078,16384,1,16070,1.0,1.0,11,0.9
12,0,test_16384_1_000079,16384,1,16059,1.0,0.9999936819076538,6,0.9
12,0,test_16384_4_000084,16384,4,16090,1.0,1.0,34,0.9
12,0,test_16384_4_000085,16384,4,16086,1.0,1.0,24,0.9
12,0,test_16384_4_000086,16384,4,16094,1.0,1.0,20,0.9
12,0,test_16384_4_000087,16384,4,16102,1.0,1.0,31,0.9
12,0,test_16384_8_000092,16384,8,16090,1.0,1.0,29,0.9
12,0,test_16384_8_000093,16384,8,16094,1.0,1.0,31,0.9
12,0,test_16384_8_000094,16384,8,16067,1.0,1.0,58,0.9
12,0,test_16384_8_000095,16384,8,16083,1.0,1.0,33,0.9
16,0,test_2048_0_000004,2048,0,2022,1.0,1.0,2,0.9
16,0,test_2048_0_000005,2048,0,2059,1.0,1.0,4,0.9
16,0,test_2048_0_000006,2048,0,2038,1.0,0.9998341798782349,4,0.9
16,0,test_2048_0_000007,2048,0,2027,1.0,0.9999994039535522,3,0.9
16,0,test_2048_1_000012,2048,1,2030,1.0,1.0,2,0.9
16,0,test_2048_1_000013,2048,1,2030,1.0,1.0,6,0.9
16,0,test_2048_1_000014,2048,1,2044,1.0,1.0,5,0.9
16,0,test_2048_1_000015,2048,1,2008,1.0,1.0,11,0.9
16,0,test_2048_4_000020,2048,4,2013,1.0,1.0,23,0.9
16,0,test_2048_4_000021,2048,4,2029,1.0,1.0,11,0.9
16,0,test_2048_4_000022,2048,4,2054,1.0,1.0,26,0.9
16,0,test_2048_4_000023,2048,4,2052,1.0,1.0,15,0.9
16,0,test_2048_8_000028,2048,8,2042,1.0,1.0,17,0.9
16,0,test_2048_8_000029,2048,8,2039,1.0,1.0,21,0.9
16,0,test_2048_8_000030,2048,8,2019,1.0,1.0,9,0.9
16,0,test_2048_8_000031,2048,8,2023,1.0,1.0,23,0.9
16,0,test_8192_0_000036,8192,0,8035,1.0,1.0,4,0.9
16,0,test_8192_0_000037,8192,0,8052,1.0,0.9999998807907104,3,0.9
16,0,test_8192_0_000038,8192,0,8066,1.0,0.7415543794631958,1,0.9
16,0,test_8192_0_000039,8192,0,8057,0.9397183060646057,0.16957306861877441,1,0.9
16,0,test_8192_1_000044,8192,1,8064,0.8354058861732483,0.6372401118278503,0,0.9
16,0,test_8192_1_000045,8192,1,8080,1.0,1.0,10,0.9
16,0,test_8192_1_000046,8192,1,8036,0.9999972581863403,0.9871394038200378,2,0.9
16,0,test_8192_1_000047,8192,1,8070,1.0,0.9999998807907104,4,0.9
16,0,test_8192_4_000052,8192,4,8075,1.0,1.0,20,0.9
16,0,test_8192_4_000053,8192,4,8075,1.0,1.0,20,0.9
16,0,test_8192_4_000054,8192,4,8042,1.0,1.0,10,0.9
16,0,test_8192_4_000055,8192,4,8074,1.0,1.0,12,0.9
16,0,test_8192_8_000060,8192,8,8045,1.0,1.0,20,0.9
16,0,test_8192_8_000061,8192,8,8075,1.0,1.0,17,0.9
16,0,test_8192_8_000062,8192,8,8052,1.0,1.0,21,0.9
16,0,test_8192_8_000063,8192,8,8066,1.0,1.0,17,0.9
16,0,test_16384_0_000068,16384,0,16058,1.0,1.0,2,0.9
16,0,test_16384_0_000069,16384,0,16086,1.0,0.9999998807907104,4,0.9
16,0,test_16384_0_000070,16384,0,16088,0.9996737241744995,0.9284655451774597,2,0.9
16,0,test_16384_0_000071,16384,0,16082,0.9999984502792358,0.9999974966049194,3,0.9
16,0,test_16384_1_000076,16384,1,16099,1.0,1.0,7,0.9
16,0,test_16384_1_000077,16384,1,16102,1.0,1.0,9,0.9
16,0,test_16384_1_000078,16384,1,16070,1.0,1.0,12,0.9
16,0,test_16384_1_000079,16384,1,16059,0.9893564581871033,0.08852694183588028,1,0.9
16,0,test_16384_4_000084,16384,4,16090,1.0,1.0,31,0.9
16,0,test_16384_4_000085,16384,4,16086,1.0,1.0,16,0.9
16,0,test_16384_4_000086,16384,4,16094,1.0,1.0,22,0.9
16,0,test_16384_4_000087,16384,4,16102,1.0,1.0,28,0.9
16,0,test_16384_8_000092,16384,8,16090,1.0,1.0,24,0.9
16,0,test_16384_8_000093,16384,8,16094,1.0,1.0,21,0.9
16,0,test_16384_8_000094,16384,8,16067,1.0,1.0,46,0.9
16,0,test_16384_8_000095,16384,8,16083,1.0,1.0,20,0.9
20,0,test_2048_0_000004,2048,0,2022,0.9973216652870178,0.9781548380851746,2,0.9
20,0,test_2048_0_000005,2048,0,2059,1.0,0.9999998807907104,3,0.9
20,0,test_2048_0_000006,2048,0,2038,1.0,0.9977988600730896,4,0.9
20,0,test_2048_0_000007,2048,0,2027,1.0,2.8097410904592834e-06,1,0.9
20,0,test_2048_1_000012,2048,1,2030,1.0,0.9999986886978149,2,0.9
20,0,test_2048_1_000013,2048,1,2030,1.0,1.0,4,0.9
20,0,test_2048_1_000014,2048,1,2044,1.0,1.0,8,0.9
20,0,test_2048_1_000015,2048,1,2008,1.0,0.9998124241828918,2,0.9
20,0,test_2048_4_000020,2048,4,2013,1.0,1.0,8,0.9
20,0,test_2048_4_000021,2048,4,2029,1.0,1.0,17,0.9
20,0,test_2048_4_000022,2048,4,2054,1.0,1.0,26,0.9
20,0,test_2048_4_000023,2048,4,2052,1.0,1.0,13,0.9
20,0,test_2048_8_000028,2048,8,2042,1.0,1.0,19,0.9
20,0,test_2048_8_000029,2048,8,2039,1.0,1.0,13,0.9
20,0,test_2048_8_000030,2048,8,2019,1.0,1.0,8,0.9
20,0,test_2048_8_000031,2048,8,2023,1.0,1.0,21,0.9
20,0,test_8192_0_000036,8192,0,8035,0.999976634979248,0.9961508512496948,2,0.9
20,0,test_8192_0_000037,8192,0,8052,1.0,0.10008165240287781,1,0.9
20,0,test_8192_0_000038,8192,0,8066,1.0,0.006453896872699261,1,0.9
20,0,test_8192_0_000039,8192,0,8057,0.9999890327453613,1.6358606136357423e-10,1,0.9
20,0,test_8192_1_000044,8192,1,8064,1.0,1.0,3,0.9
20,0,test_8192_1_000045,8192,1,8080,1.0,0.9999997615814209,2,0.9
20,0,test_8192_1_000046,8192,1,8036,1.0,1.0,3,0.9
20,0,test_8192_1_000047,8192,1,8070,1.0,0.9999964237213135,5,0.9
20,0,test_8192_4_000052,8192,4,8075,1.0,1.0,19,0.9
20,0,test_8192_4_000053,8192,4,8075,1.0,1.0,13,0.9
20,0,test_8192_4_000054,8192,4,8042,1.0,1.0,16,0.9
20,0,test_8192_4_000055,8192,4,8074,1.0,1.0,6,0.9
20,0,test_8192_8_000060,8192,8,8045,1.0,1.0,17,0.9
20,0,test_8192_8_000061,8192,8,8075,1.0,1.0,21,0.9
20,0,test_8192_8_000062,8192,8,8052,1.0,1.0,27,0.9
20,0,test_8192_8_000063,8192,8,8066,1.0,1.0,13,0.9
20,0,test_16384_0_000068,16384,0,16058,1.0,1.0,4,0.9
20,0,test_16384_0_000069,16384,0,16086,1.0,1.0,3,0.9
20,0,test_16384_0_000070,16384,0,16088,0.9834200143814087,0.00680816313251853,1,0.9
20,0,test_16384_0_000071,16384,0,16082,1.0,1.4199828868299846e-08,1,0.9
20,0,test_16384_1_000076,16384,1,16099,1.0,1.0,4,0.9
20,0,test_16384_1_000077,16384,1,16102,1.0,1.0,4,0.9
20,0,test_16384_1_000078,16384,1,16070,1.0,1.0,13,0.9
20,0,test_16384_1_000079,16384,1,16059,0.3181660771369934,0.007566562853753567,0,0.9
20,0,test_16384_4_000084,16384,4,16090,1.0,1.0,20,0.9
20,0,test_16384_4_000085,16384,4,16086,1.0,1.0,12,0.9
20,0,test_16384_4_000086,16384,4,16094,1.0,1.0,15,0.9
20,0,test_16384_4_000087,16384,4,16102,1.0,1.0,20,0.9
20,0,test_16384_8_000092,16384,8,16090,1.0,1.0,26,0.9
20,0,test_16384_8_000093,16384,8,16094,1.0,1.0,25,0.9
20,0,test_16384_8_000094,16384,8,16067,1.0,1.0,14,0.9
20,0,test_16384_8_000095,16384,8,16083,1.0,1.0,22,0.9
24,0,test_2048_0_000004,2048,0,2022,1.0,0.9999885559082031,2,0.9
24,0,test_2048_0_000005,2048,0,2059,1.2259160353522702e-10,9.825801739089812e-14,0,0.9
24,0,test_2048_0_000006,2048,0,2038,1.0,1.0,2,0.9
24,0,test_2048_0_000007,2048,0,2027,1.0,3.778386024766198e-36,1,0.9
24,0,test_2048_1_000012,2048,1,2030,1.0,0.8704224228858948,1,0.9
24,0,test_2048_1_000013,2048,1,2030,1.0,0.21073532104492188,1,0.9
24,0,test_2048_1_000014,2048,1,2044,1.0,1.0,6,0.9
24,0,test_2048_1_000015,2048,1,2008,1.0,0.14840511977672577,1,0.9
24,0,test_2048_4_000020,2048,4,2013,1.0,1.0,3,0.9
24,0,test_2048_4_000021,2048,4,2029,1.0,1.0,4,0.9
24,0,test_2048_4_000022,2048,4,2054,1.0,1.0,15,0.9
24,0,test_2048_4_000023,2048,4,2052,1.0,1.0,5,0.9
24,0,test_2048_8_000028,2048,8,2042,1.0,1.0,5,0.9
24,0,test_2048_8_000029,2048,8,2039,1.0,1.0,3,0.9
24,0,test_2048_8_000030,2048,8,2019,0.9998397827148438,0.17906810343265533,1,0.9
24,0,test_2048_8_000031,2048,8,2023,1.0,1.0,11,0.9
24,0,test_8192_0_000036,8192,0,8035,1.0,0.9995561242103577,3,0.9
24,0,test_8192_0_000037,8192,0,8052,1.0,0.9944044351577759,2,0.9
24,0,test_8192_0_000038,8192,0,8066,4.0108198545595237e-16,0.0,0,0.9
24,0,test_8192_0_000039,8192,0,8057,0.9999947547912598,7.610803287381981e-28,1,0.9
24,0,test_8192_1_000044,8192,1,8064,0.9999744892120361,1.7979223230213393e-06,1,0.9
24,0,test_8192_1_000045,8192,1,8080,0.998565137386322,6.069036332052514e-30,1,0.9
24,0,test_8192_1_000046,8192,1,8036,1.0,3.946060810845033e-17,1,0.9
24,0,test_8192_1_000047,8192,1,8070,1.0,1.0,5,0.9
24,0,test_8192_4_000052,8192,4,8075,1.0,1.0,5,0.9
24,0,test_8192_4_000053,8192,4,8075,1.0,1.0,7,0.9
24,0,test_8192_4_000054,8192,4,8042,1.0,1.0,5,0.9
24,0,test_8192_4_000055,8192,4,8074,0.9994469285011292,5.326655920917247e-19,1,0.9
24,0,test_8192_8_000060,8192,8,8045,1.0,0.9983735084533691,2,0.9
24,0,test_8192_8_000061,8192,8,8075,1.0,1.0,7,0.9
24,0,test_8192_8_000062,8192,8,8052,1.0,1.0,10,0.9
24,0,test_8192_8_000063,8192,8,8066,1.0,1.0,5,0.9
24,0,test_16384_0_000068,16384,0,16058,9.736059275954577e-16,2.572398300772234e-24,0,0.9
24,0,test_16384_0_000069,16384,0,16086,8.686567412041768e-07,1.1134460464745644e-08,0,0.9
24,0,test_16384_0_000070,16384,0,16088,4.3430151835943676e-11,5.229626410738208e-13,0,0.9
24,0,test_16384_0_000071,16384,0,16082,1.0,4.870644570028751e-28,1,0.9
24,0,test_16384_1_000076,16384,1,16099,1.0,3.003931524439317e-23,1,0.9
24,0,test_16384_1_000077,16384,1,16102,1.0,1.0,5,0.9
24,0,test_16384_1_000078,16384,1,16070,0.6793151497840881,2.6276953218815048e-21,0,0.9
24,0,test_16384_1_000079,16384,1,16059,0.9999493360519409,0.0,1,0.9
24,0,test_16384_4_000084,16384,4,16090,1.0,1.0,10,0.9
24,0,test_16384_4_000085,16384,4,16086,1.0,1.0,2,0.9
24,0,test_16384_4_000086,16384,4,16094,1.0,1.0,5,0.9
24,0,test_16384_4_000087,16384,4,16102,1.0,1.0,10,0.9
24,0,test_16384_8_000092,16384,8,16090,1.0,1.0,8,0.9
24,0,test_16384_8_000093,16384,8,16094,1.0,1.0,11,0.9
24,0,test_16384_8_000094,16384,8,16067,1.0,1.0,6,0.9
24,0,test_16384_8_000095,16384,8,16083,1.0,1.0,6,0.9
4,0,test_2048_0_000004,2048,0,2022,0.023097412660717964,0.016006097197532654,0,0.9
4,0,test_2048_0_000005,2048,0,2059,0.17801201343536377,0.03057003766298294,0,0.9
4,0,test_2048_0_000006,2048,0,2038,0.9994667172431946,0.9301029443740845,2,0.9
4,0,test_2048_0_000007,2048,0,2027,0.16758885979652405,0.08185356110334396,0,0.9
4,0,test_2048_1_000012,2048,1,2030,0.9880239367485046,0.12654754519462585,1,0.9
4,0,test_2048_1_000013,2048,1,2030,0.9999537467956543,0.9994667172431946,2,0.9
4,0,test_2048_1_000014,2048,1,2044,0.9998282194137573,0.4589463174343109,1,0.9
4,0,test_2048_1_000015,2048,1,2008,0.7748665809631348,0.6874037981033325,0,0.9
4,0,test_2048_4_000020,2048,4,2013,0.9687164425849915,0.27340376377105713,1,0.9
4,0,test_2048_4_000021,2048,4,2029,0.998978853225708,0.9969844222068787,6,0.9
4,0,test_2048_4_000022,2048,4,2054,0.999909520149231,0.9996426105499268,4,0.9
4,0,test_2048_4_000023,2048,4,2052,0.9987201690673828,0.9963943362236023,2,0.9
4,0,test_2048_8_000028,2048,8,2042,0.9994667172431946,0.9374054670333862,2,0.9
4,0,test_2048_8_000029,2048,8,2039,0.9907786846160889,0.988462507724762,5,0.9
4,0,test_2048_8_000030,2048,8,2019,0.9999873638153076,0.9740340113639832,4,0.9
4,0,test_2048_8_000031,2048,8,2023,0.9998282194137573,0.9974921941757202,4,0.9
4,0,test_8192_0_000036,8192,0,8035,0.08121608197689056,0.04922504723072052,0,0.9
4,0,test_8192_0_000037,8192,0,8052,0.025558942928910255,0.013353652320802212,0,0.9
4,0,test_8192_0_000038,8192,0,8066,0.16523770987987518,0.026470258831977844,0,0.9
4,0,test_8192_0_000039,8192,0,8057,0.04212240129709244,0.020213399082422256,0,0.9
4,0,test_8192_1_000044,8192,1,8064,0.966981828212738,0.1544187068939209,1,0.9
4,0,test_8192_1_000045,8192,1,8080,0.15963304042816162,0.04679584503173828,0,0.9
4,0,test_8192_1_000046,8192,1,8036,0.9530737400054932,0.10617203265428543,1,0.9
4,0,test_8192_1_000047,8192,1,8070,0.18512561917304993,0.14382591843605042,0,0.9
4,0,test_8192_4_000052,8192,4,8075,0.24300578236579895,0.1941002607345581,0,0.9
4,0,test_8192_4_000053,8192,4,8075,0.999882698059082,0.9996281862258911,3,0.9
4,0,test_8192_4_000054,8192,4,8042,0.9463573694229126,0.7964594960212708,1,0.9
4,0,test_8192_4_000055,8192,4,8074,0.9994513392448425,0.987403154373169,4,0.9
4,0,test_8192_8_000060,8192,8,8045,0.9483333826065063,0.9421859979629517,4,0.9
4,0,test_8192_8_000061,8192,8,8075,0.9990822076797485,0.9968560934066772,3,0.9
4,0,test_8192_8_000062,8192,8,8052,0.7157968282699585,0.6791519522666931,0,0.9
4,0,test_8192_8_000063,8192,8,8066,0.9937432408332825,0.992683470249176,5,0.9
4,0,test_16384_0_000068,16384,0,16058,0.9510000944137573,0.20643064379692078,1,0.9
4,0,test_16384_0_000069,16384,0,16086,0.6486371755599976,0.05253098905086517,0,0.9
4,0,test_16384_0_000070,16384,0,16088,0.04409484192728996,0.017794644460082054,0,0.9
4,0,test_16384_0_000071,16384,0,16082,0.09009010344743729,0.0586024634540081,0,0.9
4,0,test_16384_1_000076,16384,1,16099,0.9790199398994446,0.9189916253089905,2,0.9
4,0,test_16384_1_000077,16384,1,16102,0.999882698059082,0.9845272302627563,3,0.9
4,0,test_16384_1_000078,16384,1,16070,0.9999383687973022,0.6537255048751831,1,0.9
4,0,test_16384_1_000079,16384,1,16059,0.07650604844093323,0.037247806787490845,0,0.9
4,0,test_16384_4_000084,16384,4,16090,0.9716101288795471,0.9598251581192017,2,0.9
4,0,test_16384_4_000085,16384,4,16086,0.9993945360183716,0.9990586638450623,3,0.9
4,0,test_16384_4_000086,16384,4,16094,0.9380032420158386,0.5913568735122681,1,0.9
4,0,test_16384_4_000087,16384,4,16102,0.9999383687973022,0.9995488524436951,2,0.9
4,0,test_16384_8_000092,16384,8,16090,0.998833954334259,0.9789189696311951,3,0.9
4,0,test_16384_8_000093,16384,8,16094,0.9910768270492554,0.9785574078559875,3,0.9
4,0,test_16384_8_000094,16384,8,16067,0.9952131509780884,0.9826366305351257,5,0.9
4,0,test_16384_8_000095,16384,8,16083,0.9860186576843262,0.9849853515625,2,0.9
8,0,test_2048_0_000004,2048,0,2022,0.026825180277228355,0.015424986369907856,0,0.9
8,0,test_2048_0_000005,2048,0,2059,0.985691487789154,0.42205101251602173,1,0.9
8,0,test_2048_0_000006,2048,0,2038,0.9999951124191284,0.9999775886535645,5,0.9
8,0,test_2048_0_000007,2048,0,2027,0.998276948928833,0.9740327596664429,2,0.9
8,0,test_2048_1_000012,2048,1,2030,0.9925446510314941,0.0026527594309300184,1,0.9
8,0,test_2048_1_000013,2048,1,2030,0.9998034834861755,0.9982672929763794,2,0.9
8,0,test_2048_1_000014,2048,1,2044,0.999991774559021,0.9999810457229614,5,0.9
8,0,test_2048_1_000015,2048,1,2008,0.9992477893829346,0.9960538148880005,2,0.9
8,0,test_2048_4_000020,2048,4,2013,0.14832335710525513,0.05019596964120865,0,0.9
8,0,test_2048_4_000021,2048,4,2029,1.0,1.0,9,0.9
8,0,test_2048_4_000022,2048,4,2054,1.0,1.0,13,0.9
8,0,test_2048_4_000023,2048,4,2052,1.0,1.0,8,0.9
8,0,test_2048_8_000028,2048,8,2042,0.9999983310699463,0.9983200430870056,2,0.9
8,0,test_2048_8_000029,2048,8,2039,1.0,1.0,12,0.9
8,0,test_2048_8_000030,2048,8,2019,0.9999903440475464,0.9999514818191528,7,0.9
8,0,test_2048_8_000031,2048,8,2023,1.0,1.0,13,0.9
8,0,test_8192_0_000036,8192,0,8035,0.9972129464149475,0.07894723862409592,1,0.9
8,0,test_8192_0_000037,8192,0,8052,0.13624370098114014,0.10162792354822159,0,0.9
8,0,test_8192_0_000038,8192,0,8066,0.9984573125839233,0.0012548286467790604,1,0.9
8,0,test_8192_0_000039,8192,0,8057,0.253712922334671,0.0020285984501242638,0,0.9
8,0,test_8192_1_000044,8192,1,8064,0.9999363422393799,0.1276961863040924,1,0.9
8,0,test_8192_1_000045,8192,1,8080,0.0039093755185604095,0.0013709983322769403,0,0.9
8,0,test_8192_1_000046,8192,1,8036,0.9999998807907104,0.9999986886978149,2,0.9
8,0,test_8192_1_000047,8192,1,8070,0.9950662851333618,0.3011745810508728,1,0.9
8,0,test_8192_4_000052,8192,4,8075,0.9999645948410034,0.9999542236328125,7,0.9
8,0,test_8192_4_000053,8192,4,8075,1.0,0.9999916553497314,7,0.9
8,0,test_8192_4_000054,8192,4,8042,1.0,1.0,6,0.9
8,0,test_8192_4_000055,8192,4,8074,1.0,0.9999861717224121,7,0.9
8,0,test_8192_8_000060,8192,8,8045,1.0,1.0,8,0.9
8,0,test_8192_8_000061,8192,8,8075,1.0,1.0,10,0.9
8,0,test_8192_8_000062,8192,8,8052,1.0,0.9999992847442627,9,0.9
8,0,test_8192_8_000063,8192,8,8066,1.0,1.0,5,0.9
8,0,test_16384_0_000068,16384,0,16058,1.0,0.9856911301612854,2,0.9
8,0,test_16384_0_000069,16384,0,16086,1.0,0.4322609305381775,1,0.9
8,0,test_16384_0_000070,16384,0,16088,0.9984762072563171,0.8385902047157288,1,0.9
8,0,test_16384_0_000071,16384,0,16082,0.02348923310637474,0.0014143317239359021,0,0.9
8,0,test_16384_1_000076,16384,1,16099,1.0,0.9993125200271606,5,0.9
8,0,test_16384_1_000077,16384,1,16102,1.0,1.0,5,0.9
8,0,test_16384_1_000078,16384,1,16070,0.9999998807907104,0.9999480247497559,3,0.9
8,0,test_16384_1_000079,16384,1,16059,0.8783921599388123,0.5113310813903809,0,0.9
8,0,test_16384_4_000084,16384,4,16090,1.0,0.9999998807907104,6,0.9
8,0,test_16384_4_000085,16384,4,16086,1.0,0.9999995231628418,4,0.9
8,0,test_16384_4_000086,16384,4,16094,0.9709230065345764,0.9495260715484619,2,0.9
8,0,test_16384_4_000087,16384,4,16102,1.0,0.9990365505218506,4,0.9
8,0,test_16384_8_000092,16384,8,16090,1.0,1.0,7,0.9
8,0,test_16384_8_000093,16384,8,16094,1.0,1.0,7,0.9
8,0,test_16384_8_000094,16384,8,16067,1.0,1.0,13,0.9
8,0,test_16384_8_000095,16384,8,16083,1.0,1.0,7,0.9
